Ticker,EPS,P/E Ratio,PEG Ratio,P/B Ratio,ROE,P/B Ratio,Operating Margin,EBITDA,Industry
AZN,5.49,13.009108,1.08,2.8016632,0.16736999,2.8016632,0.22415,16972999680.0,Drug Manufacturers - General
BDX,14.34,16.404463,2.06,2.6284974,0.05633,2.6284974,0.1513,5109000192.0,Medical Instruments & Supplies
AFL,7.14,14.665266,1.59,2.3477051,0.16038,2.3477051,0.04815,4800500224.0,Insurance - Life
ADI,7.54,29.904509,60.67,3.1812859,0.04658,3.1812859,0.2178,4361349120.0,Semiconductors
ACIW,1.86,26.607527,2.64,4.196202,0.15246001,4.196202,0.14486,362494016.0,Software - Infrastructure
AEO,1.94,10.030927,0.86,2.205349,0.14731,2.205349,0.07831,674590976.0,Apparel Retail
NVO,4.2,26.652382,81.3,4.4346724,0.88572,4.4346724,0.4648,126561001472.0,Drug Manufacturers - General
ALTR,1.41,73.758865,1.64,10.556232,0.04467,10.556232,-0.028469998,71684000.0,Software - Infrastructure
PAA,1.39,11.791367,-7.25,1.4404991,0.1,1.4404991,0.029000001,2447000064.0,Oil & Gas Midstream
AAP,2.76,13.134058,0.15,0.8243695,-0.00456,0.8243695,0.02674,359175008.0,Specialty Retail
ARLP,3.47,7.599424,-1.09,1.7742045,0.24607,1.7742045,0.16472,761699008.0,Thermal Coal
ATI,3.03,17.630363,1.75,4.2531843,0.23856,4.2531843,0.13194,562899968.0,Metal Fabrication
ADT,0.83,8.73494,2.53,1.6836971,0.00405,1.6836971,0.26367,2431304960.0,Security & Protection Services
AVB,5.57,38.82944,-31.23,2.616185,0.07143,2.616185,0.33433,1763314944.0,REIT - Residential
LH,16.02,14.17603,1.91,2.3265345,0.05432,2.3265345,0.08291,1673500032.0,Diagnostics & Research
AVY,10.52,19.592205,1.69,6.9257393,0.30241,6.9257393,0.12810001,1416300032.0,Packaging & Containers
AON,17.42,20.919634,2.04,12.635485,0.82182,12.635485,0.18221001,4295000064.0,Insurance Brokers
ADC,1.85,39.962162,20.41,1.4919078,0.03616,1.4919078,0.48819,465060992.0,REIT - Retail
AYI,18.33,16.715221,1.4,3.9284298,0.19233999,3.9284298,0.15383,642899968.0,Electrical Equipment & Parts
ASML,27.29,24.72444,1.64,16.42598,0.49216,16.42598,0.32692,8865399808.0,Semiconductor Equipment & Materials
AMT,6.68,31.625748,1.04,27.108942,0.17691,27.108942,0.45165002,6975900160.0,REIT - Specialty
ACM,4.99,21.723448,1.68,6.4005666,0.16784,6.4005666,0.060450003,1066792000.0,Engineering & Construction
AR,2.15,11.879069,3.48,1.1380955,0.0130900005,1.1380955,-0.00846,880545984.0,Oil & Gas E&P
AAN,0.42,24.023811,-3.86,0.47118708,-0.062230002,0.47118708,0.03718,154254000.0,Rental & Leasing Services
BAH,6.87,26.387192,2.45,19.309757,0.72942,19.309757,0.13826,1363874944.0,Consulting Services
ALB,2.41,40.763485,76.27,1.28467,-0.04103,1.28467,-0.13694,-840955008.0,Specialty Chemicals
AIZ,17.64,10.8707485,2.03,1.9865943,0.16811001,1.9865943,0.08917,1321100032.0,Insurance - Property & Casualty
SAIC,9.01,16.056602,2.1,4.4513845,0.16724001,4.4513845,0.07481,643000000.0,Information Technology Services
AU,2.74,9.959854,0.6,2.9084513,0.033770002,2.9084513,0.19906001,1488999936.0,Gold
APH,2.16,31.416666,1.94,8.653405,0.25293,8.653405,0.21865,3586299904.0,Electronic Components
AMX,1.69,9.236686,1.28,2.318776,0.091309994,2.318776,0.21231002,276394180608.0,Telecom Services
JKHY,6.31,29.011093,3.22,7.2407246,0.22128999,7.2407246,0.22437,551337024.0,Information Technology Services
AMKR,1.91,13.612566,-1.69,1.5401019,0.09133001,1.5401019,0.08026,1067059968.0,Semiconductor Equipment & Materials
AEIS,5.05,21.69703,4.59,3.5448074,0.03985,3.5448074,0.05035,135878000.0,Electrical Equipment & Parts
VRSK,7.32,37.63388,3.4,130.00473,2.65609,130.00473,0.42975,1363000064.0,Consulting Services
RBA,5.12,16.621094,1.64,3.0412407,0.066139996,3.0412407,0.18767,1198599936.0,Specialty Business Services
MAA,4.18,35.686604,-46.53,2.930936,0.08611,2.930936,0.29549,1247618048.0,REIT - Residential
ASX,0.77,12.831169,0.59,0.13800617,0.10573,0.13800617,0.07168,96232579072.0,Semiconductors
ARCO,0.81,10.469135,0.31,3.806104,0.39277,3.806104,0.066810004,484807008.0,Restaurants
ANET,9.5,41.49158,2.4,14.684823,0.34463,14.684823,0.41384998,2656448000.0,Computer Hardware
AIR,4.5,12.977778,1.18,1.7020781,0.05566,1.7020781,0.06211,212800000.0,Aerospace & Defense
WAB,8.45,22.111242,1.74,3.1607795,0.103690006,3.1607795,0.16523,2110000000.0,Railroads
RS,17.04,16.848003,29.03,2.1137378,0.1385,2.1137378,0.07993,1609400064.0,Steel
AMG,25.07,7.730754,0.62,1.9317638,0.18146,1.9317638,0.34859002,721800000.0,Asset Management
ALSN,9.06,11.839955,0.99,17.21001,0.51765,17.21001,0.27329,1130000000.0,Auto Parts
ALGN,10.26,20.329435,2.34,3.9521003,0.11401,3.9521003,0.16604,821755008.0,Medical Instruments & Supplies
ROK,10.67,25.18463,119.91,9.168202,0.25676,9.168202,0.18,1793900032.0,Specialty Industrial Machinery
GLPI,2.96,16.831081,6.33,3.2127426,0.17936,3.2127426,0.69459,1388200960.0,REIT - Specialty
AZZ,5.65,13.656637,1.51,2.3058991,0.12622,2.3058991,0.16539,319488000.0,Specialty Business Services
ARMK,1.93,19.797928,2.06,3.4192393,0.14571999,3.4192393,0.03695,1674850944.0,Specialty Business Services
AOS,4.07,18.525799,1.99,5.7039113,0.29544002,5.7039113,0.17793,809100032.0,Specialty Industrial Machinery
AMCX,4.18,1.9641149,-0.14,0.34358653,0.041750003,0.34358653,0.1766,533572992.0,Entertainment
ALE,3.99,16.052631,2.11,1.3080238,0.035469998,1.3080238,0.12425999,448300000.0,Utilities - Diversified
SEE,3.14,11.652866,7.59,8.196684,0.68461,8.196684,0.15441,1063200000.0,Packaging & Containers
APOG,4.9,15.469388,0.98,3.2847981,0.22219,3.2847981,0.12605,198150000.0,Building Products & Equipment
ANDE,3.59,12.590529,1.82,1.1664215,0.11768,1.1664215,0.02102,307855008.0,Food Distribution
AMED,5.11,18.686888,2.27,2.7784567,0.08198,2.7784567,0.10845,233572000.0,Medical Care Facilities
ALEX,0.61,30.737703,1.15,1.3643309,0.0587,1.3643309,0.37603,120761000.0,REIT - Retail
ADUS,5.79,21.80829,1.98,2.4522254,0.08677,2.4522254,0.09125,120815000.0,Medical Care Facilities
WMS,7.47,20.03213,2.45,8.4347,0.44705,8.4347,0.27781,860406976.0,Building Products & Equipment
PAG,14.19,10.606765,110.4,1.9313238,0.17948,1.9313238,0.041810002,1444000000.0,Auto & Truck Dealerships
KLIC,1.85,24.637838,56.07,2.5667307,-0.05391,2.5667307,0.04557,-3232000.0,Semiconductor Equipment & Materials
AZPN,7.69,30.386215,2.4,1.1535271,-0.00075,1.1535271,0.12002,405416000.0,Software - Application
AMH,0.64,54.718754,6.41,1.8306326,0.05447,1.8306326,0.22358999,855929024.0,REIT - Residential
AME,7.3,24.442465,3.13,4.3215947,0.14886,4.3215947,0.25642002,2138388992.0,Specialty Industrial Machinery
AJG,11.29,24.836138,2.49,5.0492496,0.10321999,5.0492496,0.18721001,3382200064.0,Insurance Brokers
AGCO,7.34,13.540872,-0.65,1.8298813,0.096260004,1.8298813,0.08809,1700499968.0,Farm & Heavy Construction Machinery
ARE,3.44,32.226746,0.43,1.0481629,0.02132,1.0481629,0.27855,1905123968.0,REIT - Office
ANSS,10.7,30.25701,5.09,5.063578,0.094289996,5.063578,0.26495,742475008.0,Software - Application
AIN,3.99,17.426065,2.2,2.1928911,0.10515001,2.1928911,0.08975001,256387008.0,Textile Manufacturing
ACLS,7.29,11.809327,2.56,3.003419,0.28523,3.003419,0.20587999,268926016.0,Semiconductor Equipment & Materials
ABG,28.02,8.136331,-17.28,1.3280827,0.108,1.3280827,0.054920003,1050000000.0,Auto & Truck Dealerships
AXTA,2.41,15.7593355,0.88,4.346035,0.18195999,4.346035,0.15379,1055200000.0,Specialty Chemicals
AWI,6.8,20.675,2.45,8.561598,0.38311002,8.561598,0.22944,376300000.0,Building Products & Equipment
ATHM,2.3,12.143478,-233.92,0.13850525,0.07406,0.13850525,0.22023001,1435322496.0,Internet Content & Information
AER,12.18,7.743021,1.54,1.0402718,0.153,1.0402718,0.46147,4075642880.0,Rental & Leasing Services
RHHBY,3.03,12.957095,3.28,1.0808578,0.36356,1.0808578,0.35268003,21041000448.0,Drug Manufacturers - General
FMS,2.82,7.0070925,6.98,0.41616648,0.050630003,0.41616648,0.07835,2404966912.0,Medical Care Facilities
DOX,7.03,12.526315,1.66,2.869432,0.14219,2.869432,0.15246001,940126016.0,Software - Infrastructure
CXW,0.47,28.319149,5.61,1.0139408,0.047709998,1.0139408,0.09859,324855008.0,Security & Protection Services
AXS,11.39,6.93942,0.37,1.1948962,0.11615,1.1948962,0.20864001,837755008.0,Insurance - Specialty
AXL,0.46,12.521739,0.13,1.1111112,0.0035100002,1.1111112,0.05612,715600000.0,Auto Parts
ASGN,5.53,16.466545,2.93,2.2682774,0.099429995,2.2682774,0.07653,407600000.0,Information Technology Services
AMBC,0.07,160.14285,0.95,0.37059075,0.051469997,0.37059075,0.10989001,158000000.0,Insurance - Specialty
AIT,10.57,21.90161,1.98,5.0798736,0.23356001,5.0798736,0.10295,540958976.0,Industrial Distribution
AEHR,0.47,25.680851,2.35,2.915459,0.28764,2.915459,0.01212,6988000.0,Semiconductor Equipment & Materials
ACHC,3.9,10.774359,1.22,1.2718688,0.09762,1.2718688,0.18047,689292992.0,Medical Care Facilities
ACCO,1.2,4.383333,0.47,0.8204649,-0.24988002,0.8204649,0.07745,201500000.0,Business Equipment & Supplies
MANH,4.92,53.729675,3.81,58.086136,0.89778,58.086136,0.15827,265948000.0,Software - Application
LAMR,5.78,22.707611,8.71,11.215073,0.42707002,11.215073,0.32446998,984620032.0,REIT - Specialty
APEI,1.37,11.043796,2.06,1.0736588,0.03687,1.0736588,0.01572,57759000.0,Education & Training Services
AM,1.04,13.826923,1.65,3.2497175,0.18226999,3.2497175,0.56439996,851436032.0,Oil & Gas Midstream
ALV,10.18,9.348722,0.92,3.2757375,0.2638,3.2757375,0.0908,1351000064.0,Auto Parts
AKR,0.37,65.4054,38.87,1.4305983,-0.0014200001,1.4305983,0.29587,213726000.0,REIT - Retail
WRLD,12.24,9.36438,5.81,1.482641,0.20254,1.482641,0.29209998,161272528.0,Credit Services
SAH,6.11,9.346972,0.66,1.9234785,0.20944999,1.9234785,0.03348,587600000.0,Auto & Truck Dealerships
ARCB,9.24,10.824676,1.37,1.8970847,0.10457,1.8970847,0.04881,355641984.0,Trucking
ALRM,2.18,24.504585,1.81,4.0704055,0.15706,4.0704055,0.11033,112637000.0,Software - Application
ABEV,0.18,11.944445,4.66,0.4287994,0.16227,0.4287994,0.2017,23430197248.0,Beverages - Brewers
RGA,22.84,9.417688,1.18,1.2732407,0.07579,1.2732407,0.05167,1249250048.0,Insurance - Reinsurance
AVD,0.39,13.487181,16.87,0.42799026,-0.00973,0.42799026,-0.01472,44116000.0,Agricultural Inputs
AUDC,1.05,8.695239,2.31,1.4725807,0.07334,1.4725807,0.08185001,24290000.0,Communication Equipment
ARC,0.3,11.233333,1.24,0.9330011,0.04917,0.9330011,0.06704,28915000.0,Specialty Business Services
AOSL,1.28,26.5625,2.52,1.1046852,-0.01248,1.1046852,0.12612,49401000.0,Semiconductors
AMWD,9.92,9.199597,0.36,1.5407993,0.119449995,1.5407993,0.10243,217188992.0,"Furnishings, Fixtures & Appliances"
ACGL,9.04,10.621681,0.55,1.677674,0.30441,1.677674,0.24947001,5171999744.0,Insurance - Diversified
SAMG,1.63,10.067485,1.55,1.8438203,0.100360006,1.8438203,0.14649999,18907000.0,Asset Management
GIL,4.75,10.454737,2.84,4.974457,0.23708999,4.974457,0.22388001,788339008.0,Apparel Manufacturing
ATR,5.93,28.568298,2.88,4.4370236,0.14077,4.4370236,0.1566,761094016.0,Medical Instruments & Supplies
ASR,18.32,14.121725,7.65,1.5432106,0.24239,1.5432106,0.54750997,18897119232.0,Airports & Air Services
ASC,2.47,5.6842103,0.1,0.95102626,0.25116,0.95102626,0.41171002,173902000.0,Marine Shipping
AAT,0.72,36.999996,9.46,1.3672757,0.06479,1.3672757,0.30786,244404992.0,REIT - Diversified
LNT,3.25,17.766155,2.55,2.126312,0.096540004,2.126312,0.28955,1626000000.0,Utilities - Regulated Electric
FAF,5.7,11.014035,-2.0,1.2698476,0.01948,1.2698476,-0.07695,448100000.0,Insurance - Specialty
AMSF,2.35,22.885107,2.16,3.2572224,0.18892,3.2572224,0.22606,77419000.0,Insurance - Specialty
AGYS,1.67,61.31138,1539.0,10.8555975,0.46356,10.8555975,0.09179,28081000.0,Software - Application
AFG,11.95,10.68703,4.48,2.4440234,0.21273,2.4440234,0.16022,1335000064.0,Insurance - Property & Casualty
AVNW,4.2,4.821429,0.66,0.9988654,0.045339998,0.9988654,0.052449998,36461000.0,Communication Equipment
APPF,5.49,37.98179,1.89,18.140062,0.38965,18.140062,0.20691,146314000.0,Software - Application
ALLE,7.79,17.949936,2.48,7.7369556,0.40822,7.7369556,0.22242,888400000.0,Security & Protection Services
AHH,0.25,43.0,8.02,1.8496215,0.01001,1.8496215,0.10853,167458000.0,REIT - Diversified
TEO,-0.75,-12.373333,-0.04,0.0043115644,0.15592,0.0043115644,-0.030639999,427728994304.0,Telecom Services
OMAB,5.81,11.079174,-15.81,2.700424,0.55804,2.700424,0.58557,8565965824.0,Airports & Air Services
NOA,3.14,6.2547765,0.92,1.3944902,0.15562001,1.3944902,0.18878001,342339008.0,Oil & Gas Equipment & Services
ATEN,0.86,17.0,0.95,5.0379047,0.21404,5.0379047,0.13172,45490000.0,Software - Infrastructure
APPS,0.53,5.9622645,2.29,1.6544503,-1.1002101,1.6544503,-0.12255,43894000.0,Software - Application
REX,2.27,19.515419,2.15,1.4421042,0.14649999,1.4421042,0.08999,94084000.0,Chemicals
PAC,12.32,13.501623,2.78,4.1630793,0.4415,4.1630793,0.45189998,17504794624.0,Airports & Air Services
BTI,4.71,7.44586,1.44,1.4870881,-0.21503,1.4870881,0.34537998,12739000320.0,Tobacco
ASUR,0.88,9.670455,0.63,1.1340618,-0.062179998,1.1340618,-0.06805,11128000.0,Software - Application
VLRS,1.0,7.32,0.03,26.330936,0.85450995,26.330936,0.15498,609326976.0,Airlines
TEAM,4.08,54.987747,2.11,56.79747,-0.43517,56.79747,-0.026919998,-43705000.0,Software - Application
EVTC,3.23,10.117647,1.48,4.3567524,0.13288,4.3567524,0.20455,225411008.0,Software - Infrastructure
APP,4.54,36.019825,2.45,67.07547,0.70921,67.07547,0.36198002,1649539968.0,Software - Application
AGRO,1.38,8.195653,1.14,0.85050386,0.16206,0.85050386,0.06369,409959008.0,Farm Products
TKC,0.53,11.754718,0.58,0.08932028,0.18528,0.08932028,0.13135,19362111488.0,Telecom Services
PRTS,-0.45,-1.8455557,-0.09,0.45808053,-0.29106,0.45808053,-0.06852,-14348000.0,Auto Parts
ASYS,0.27,20.185184,-13.9,0.9476613,-0.22131,0.9476613,0.032,-102000.0,Semiconductor Equipment & Materials
AMPH,4.5,11.273334,0.56,3.482051,0.25566998,3.482051,0.30273,284159008.0,Drug Manufacturers - Specialty & Generic
FWRD,0.39,87.794876,-3.44,3.3421183,-2.04946,3.3421183,0.01084,184652000.0,Integrated Freight & Logistics
AXON,5.95,71.56975,4.17,16.684559,0.17232001,16.684559,0.067,196808992.0,Aerospace & Defense
APAM,3.73,11.9249325,-0.75,7.699498,0.56918997,7.699498,0.33333,343648992.0,Asset Management
NSA,0.84,49.54762,3.22,4.9085975,0.13402,4.9085975,0.3738,495080992.0,REIT - Industrial
EADSY,1.9,20.21579,2.11,1.591135,0.17836,1.591135,0.07056,6195999744.0,Aerospace & Defense
MOG-A,8.28,23.398552,3.54,3.4507694,0.11933,3.4507694,0.10403,484622016.0,Aerospace & Defense
SIEGY,7.26,13.505509,1.95,1.5537597,0.16410999,1.5537597,0.13825,11843000320.0,Specialty Industrial Machinery
AKO-B,1.66,10.168674,1.11,0.01802808,0.19381,0.01802808,0.101,457994928128.0,Beverages - Non-Alcoholic
GTN-A,-0.78,-10.358974,0.19,0.3749942,0.02253,0.3749942,0.18281001,818000000.0,Broadcasting
NHYDY,1.02,6.068628,0.2,0.1243946,0.00456,0.1243946,0.20188,48058998784.0,Aluminum
DTEGY,1.78,17.061798,1.71,2.5895295,0.10299,2.5895295,0.21908002,40009998336.0,Telecom Services
AMZN,5.77,34.30329,1.28,8.027986,0.22558,8.027986,0.109589994,111583002624.0,Internet Retail
DAL,7.02,8.317664,1.12,2.7432463,0.4067,2.7432463,0.08452,8415000064.0,Airlines
DD,4.34,19.009216,2.09,1.4759817,0.01391,1.4759817,0.14948,2894000128.0,Specialty Chemicals
UA,0.34,23.17647,1.51,1.8739597,-0.04364,1.8739597,0.00677,362268000.0,Apparel Manufacturing
LUV,1.61,19.012423,2.16,1.7633505,-0.00447,1.7633505,0.0027700001,1682000000.0,Airlines
ACAD,0.81,18.28395,-0.08,4.754414,0.066989996,4.754414,0.12579,34274000.0,Biotechnology
AEP,5.98,16.26254,2.65,1.9794422,0.10514,1.9794422,0.18864,7350900224.0,Utilities - Regulated Electric
ANF,10.67,12.30178,0.71,5.555979,0.50931,5.555979,0.15507,816854976.0,Apparel Retail
JBLU,-0.5,-11.54,-0.14,0.7570191,-0.28166,0.7570191,-0.00465,436000000.0,Airlines
FOLD,0.19,60.368423,0.41,25.659956,-0.97939,25.659956,0.11816,-16683000.0,Biotechnology
AES,2.07,7.1062803,1.41,3.1791658,-0.02549,3.1791658,0.20158,3334000128.0,Utilities - Diversified
AWK,5.69,23.90158,3.5,2.5579777,0.097040005,2.5579777,0.41572,2408000000.0,Utilities - Regulated Water
ALK,5.41,9.099815,0.71,1.5092431,0.05503,1.5092431,0.16017,1212000000.0,Airlines
NAT,0.58,5.586207,1.72,1.2867355,0.1144,1.2867355,0.2209,145423008.0,Oil & Gas Midstream
AIV,-0.45,-18.511112,-1.63,4.5075755,-0.34917998,4.5075755,-0.021429999,85399000.0,REIT - Residential
AGIO,-6.04,-7.4288077,-0.82,3.095123,-0.44922,3.095123,-12.28288,-399096000.0,Biotechnology
AEE,4.91,17.490835,3.04,1.9856647,0.10446999,1.9856647,0.26909,3276999936.0,Utilities - Regulated Electric
AG,0.29,24.758621,-1.97,1.5564709,-0.05725,1.5564709,-0.04103,-26116000.0,Silver
ASH,5.23,16.217974,1.06,1.3959843,0.05625,1.3959843,0.09375,341000000.0,Specialty Chemicals
ABM,3.66,14.505465,4.11,1.8164711,0.08438,1.8164711,0.017860001,370400000.0,Specialty Business Services
ATO,7.13,19.410938,2.76,1.7633942,0.090179995,1.7633942,0.32149,1991972992.0,Utilities - Regulated Gas
SAVE,-4.28,-0.5771028,0.01,0.33409983,-0.59346,0.33409983,-0.13033,-478670016.0,Airlines
ARW,13.77,8.789397,-6.49,1.0673311,0.08453,1.0673311,0.03031,1213746944.0,Electronics & Computer Distribution
AVT,5.94,9.181818,1.26,0.95371324,0.07066,0.95371324,0.030079998,904899008.0,Electronics & Computer Distribution
AI,-0.34,-73.617645,-0.9,3.6102698,-0.30781,3.6102698,-0.83228,-305352992.0,Software - Application
AVAV,4.32,49.999996,3.38,7.154213,0.083009996,7.154213,0.121549994,108064000.0,Aerospace & Defense
CENX,0.79,21.797466,0.31,2.654949,0.4145,2.654949,0.011410001,98200000.0,Aluminum
AMRN,-0.18,-3.2566664,-0.12,0.45371515,-0.07256,0.45371515,-0.59502,-40873000.0,Drug Manufacturers - General
ALKS,2.0,13.235,0.39,3.3141353,0.29229,3.3141353,0.27703,358806016.0,Drug Manufacturers - Specialty & Generic
AAON,2.83,40.09541,4.19,12.403805,0.26613,12.403805,0.0399,304944000.0,Building Products & Equipment
ALG,11.75,15.955745,2.58,2.2130673,0.12529999,2.2130673,0.099870004,227458000.0,Farm & Heavy Construction Machinery
ACTG,-0.21,-21.857143,-4.52,0.8216971,0.14303,0.8216971,-0.18415001,57230000.0,Business Equipment & Supplies
AVA,2.59,14.169885,2.48,1.1429106,0.07842,1.1429106,0.13916,563651968.0,Utilities - Diversified
ARWR,-4.22,-4.6184835,-0.55,7.324314,-1.51843,7.324314,-27.85052,-529777984.0,Biotechnology
AGO,6.36,12.981132,4.53,0.7924289,0.13249,0.7924289,0.55446,343000000.0,Insurance - Specialty
ATRC,-0.63,-53.190475,-2.05,3.5129468,-0.08389,3.5129468,-0.06389,-16072000.0,Medical Instruments & Supplies
PAAS,1.73,13.289017,2.66,1.8098087,-0.02803,1.8098087,0.11482,588700032.0,Gold
AMSC,0.49,58.2449,3.27,6.0210977,-0.00656,6.0210977,0.05799,7730000.0,Specialty Industrial Machinery
MDRX,0.86,10.767442,-0.63,0.8595563,0.089320004,0.8595563,0.16588,115354000.0,Health Information Services
NOG,5.24,6.835878,0.63,1.7265147,0.32439998,1.7265147,0.42558998,1444386048.0,Oil & Gas E&P
GIII,3.99,7.518797,-1.18,0.87037253,0.12794,0.87037253,0.06431,327455008.0,Apparel Manufacturing
AGX,5.06,27.051384,3.09,5.997196,0.14689,5.997196,0.082270004,47092000.0,Engineering & Construction
ADTN,0.24,25.75,-9.11,2.2126744,-0.58409,2.2126744,-0.092250004,-39070000.0,Communication Equipment
AWR,3.32,24.5753,6.18,3.6668015,0.1347,3.6668015,0.33532003,222467008.0,Utilities - Regulated Water
AROC,1.45,13.73793,-1.49,3.480692,0.15865,3.480692,0.29969,476148992.0,Oil & Gas Equipment & Services
AGI,1.11,18.117117,-1.75,2.6236138,0.067210004,2.6236138,0.41731998,574899968.0,Gold
KAR,0.93,17.096773,1.43,1.3002944,0.02855,1.3002944,0.12923001,349200000.0,Auto & Truck Dealerships
ARDX,-0.07,-87.0,-0.75,9.116767,-0.4154,9.116767,0.02273,-62151000.0,Biotechnology
ARAY,0.12,14.583334,0.33,3.888889,-0.31486,3.888889,0.03734,9009000.0,Medical Devices
ATRO,1.0,17.71,1.48,2.402985,-0.04773,2.402985,0.03496,24912000.0,Aerospace & Defense
ATNI,0.26,79.03846,11.64,0.6328334,-0.06152,0.6328334,0.0255,179880000.0,Telecom Services
ANIK,0.09,183.66667,-1.18,1.3572544,-0.43308997,1.3572544,-0.64294,-8189000.0,Drug Manufacturers - Specialty & Generic
ANGO,-0.24,-27.833334,-1.11,1.3934083,-0.77846,1.3934083,-0.12907,-13176000.0,Medical Instruments & Supplies
UHAL,4.5,16.19111,1.72,1.9041895,0.08031,1.9041895,0.19952999,1741632000.0,Rental & Leasing Services
ATSG,1.08,16.11111,41.54,0.7756084,0.01212,0.7756084,0.0619,464791008.0,Airlines
AAOI,0.57,29.54386,-1.79,3.6704447,-0.41227,3.6704447,-0.60652,-39139000.0,Communication Equipment
USAP,3.7,11.864865,4.21,1.6134368,0.11192001,1.6134368,0.15616,59083000.0,Steel
ARTNA,2.09,15.875599,4.36,1.4572445,0.07922,1.4572445,0.33348998,44948000.0,Utilities - Regulated Water
KALU,5.45,13.87156,0.54,1.8067105,0.072340004,1.8067105,0.0222,206000000.0,Aluminum
ANY,-1.69,-0.60355026,-0.1,0.6204379,-0.35387,0.6204379,-0.89155996,-7992000.0,Capital Markets
ANIP,5.57,10.447037,5.5,2.4962463,0.05904,2.4962463,0.0654,107971000.0,Drug Manufacturers - Specialty & Generic
AMSWA,0.41,26.707317,1.6,2.7947931,0.06751,2.7947931,0.0704,9734000.0,Software - Application
ALLT,0.01,339.00003,12.6,2.8086164,-0.59566003,2.8086164,-0.15187,-31692000.0,Software - Infrastructure
ADDYY,8.58,14.114219,0.14,4.1895866,0.08054,4.1895866,0.092580006,1387000064.0,Footwear & Accessories
JAGX,-2.61,-0.40613025,-0.03,0.4907407,-2.90941,0.4907407,-2.64498,-29431000.0,Biotechnology
